basin_ID,nse,alpha-nse,beta-nse,fhv,fms,flv,kge,beta-kge,peak-timing,peak-mape,pearson-r
01567500,2.8509e-01,6.3988e-01,8.3258e-01,-3.8411e+01,5.8473e+01,-3.4305e+02,3.9841e-01,8.3258e-01,1.3684e+00,7.7132e+01,5.4812e-01
01568000,4.2711e-01,8.9631e-01,7.7392e-01,-1.3148e+01,1.2196e+02,-6.2164e+02,6.0689e-01,7.7392e-01,1.1622e+00,5.6883e+01,6.9557e-01
01580000,2.2936e-01,6.1490e-01,8.8589e-01,-4.9532e+01,4.0561e+01,-1.0352e+02,3.6011e-01,8.8589e-01,1.7209e+00,8.2318e+01,5.0186e-01
01583500,1.8550e-01,5.0482e-01,7.9585e-01,-5.6004e+01,2.4673e+01,-1.2129e+02,2.4529e-01,7.9585e-01,1.7273e+00,8.4878e+01,4.6830e-01
01591400,1.1639e-01,4.7336e-01,8.7783e-01,-6.0250e+01,5.8834e+01,4.0786e+01,1.6575e-01,8.7783e-01,1.6190e+00,8.6131e+01,3.6464e-01
01596500,5.1747e-01,9.0346e-01,8.8949e-01,-1.2298e+01,2.0477e+01,-4.3754e+02,7.0195e-01,8.8949e-01,1.0513e+00,5.9696e+01,7.4058e-01
01605500,3.6174e-01,9.0981e-01,1.0003e+00,1.2659e+01,2.5980e+02,-8.6330e+02,6.4215e-01,1.0003e+00,4.5897e+00,7.2416e+01,6.5371e-01
01606500,6.4472e-01,9.7911e-01,1.0166e+00,2.0079e-01,8.8325e+01,-8.7644e+02,8.1688e-01,1.0166e+00,1.1750e+00,5.9956e+01,8.1883e-01
01620500,5.3619e-01,6.8618e-01,8.1262e-01,-2.7892e+01,5.2188e+01,-2.7692e+02,5.4959e-01,8.1262e-01,8.5000e-01,7.2138e+01,7.3680e-01
01632000,4.4993e-01,8.4460e-01,7.7571e-01,-8.6995e+00,1.1930e+02,-5.9860e+01,5.8833e-01,7.7571e-01,1.1707e+00,6.8364e+01,6.9176e-01
